Set Name,Skins
Heavenscale,Divine Heavenscale Lee Sin; Heavenscale Diana; Heavenscale Ezreal; Heavenscale Janna; Heavenscale Kai'Sa; Heavenscale Lee Sin; Heavenscale Master Yi; Heavenscale Smolder; Prestige Heavenscale Ezreal
Lunar Beast,Lunar Beast Alistar; Lunar Beast Annie; Lunar Beast Aphelios; Lunar Beast Darius; Lunar Beast Fiora; Lunar Beast Jarvan IV; Lunar Beast Viego; Prestige Lunar Beast Fiora
Lunar Revel,Coin Emperor Tahm Kench; Dragon Fist Lee Sin; Guqin Sona; Jade Dragon Wukong; Jade Fang Cassiopeia; Lunar Emperor Thresh; Lunar Empress Ashe; Lunar Empress Lux; Lunar Empress Qiyana; Lunar Goddess Diana; Lunar Guardian Kha'Zix; Lunar Guardian Malphite; Lunar Guardian Nasus; Lunar Guardian Warwick; Lunar Wraith Caitlyn; Lunar Wraith Morgana; Lunar Wraith Sylas; Radiant Wukong
Lunar Revel: Firecracker,Dragonwing Corki; Firecracker Diana; Firecracker Jinx; Firecracker Sejuani; Firecracker Sett; Firecracker Teemo; Firecracker Tristana; Firecracker Vayne; Firecracker Xin Zhao; Lion Dance Kog'Maw; Panda Annie; Prestige Firecracker Vayne; Prestige Firecracker Vayne (2022)
Porcelain,Porcelain Amumu; Porcelain Darius; Porcelain Graves; Porcelain Irelia; Porcelain Kindred; Porcelain Lissandra; Porcelain Lux; Porcelain Miss Fortune; Porcelain Morgana; Porcelain Protector Aurelion Sol; Porcelain Protector Ezreal; Prestige Porcelain Kindred; Prestige Porcelain Lissandra; Prestige Porcelain Lux
Crystalis Indomitus,Crystalis Indomitus Kha'Zix; Crystalis Indomitus Nautilus; Crystalis Indomitus Xerath
Crystalis Motus,Crystalis Motus Ashe; Crystalis Motus Leona; Crystalis Motus Taliyah
Masque of the Black Rose,Masque of the Black Rose Elise; Masque of the Black Rose Ezreal; Masque of the Black Rose Renata Glasc; Masque of the Black Rose Samira; Masque of the Black Rose Vladimir; Prestige Masque of the Black Rose Katarina
Food Fight,Cheddar Chief Twitch; Durian Defender Rammus; Zesty Dip Zac
Kaiju,Giant Enemy Crabgot
Mecha,Mecha Aatrox; Mecha Aurelion Sol; Mecha Kha'Zix; Mecha Malphite; Mecha Rengar; Mecha Zero Sion
